slot,segment,company_name,website,employee_range,geography,founder_name,title,work_email,contact_path,linkedin_url,founder_visible,high_ticket_service,recent_activity,outbound_maturity,fit_score,fit_notes,opening_line_1,opening_line_2,opening_line_3,status
01,SEO,,,,,,,,,,,,,,,,,,to_research
02,SEO,,,,,,,,,,,,,,,,,,to_research
03,SEO,,,,,,,,,,,,,,,,,,to_research
04,SEO,,,,,,,,,,,,,,,,,,to_research
05,Paid Ads,,,,,,,,,,,,,,,,,,to_research
06,Paid Ads,,,,,,,,,,,,,,,,,,to_research
07,Paid Ads,,,,,,,,,,,,,,,,,,to_research
08,Paid Ads,,,,,,,,,,,,,,,,,,to_research
09,Web/Dev,,,,,,,,,,,,,,,,,,to_research
10,Web/Dev,,,,,,,,,,,,,,,,,,to_research
11,Web/Dev,,,,,,,,,,,,,,,,,,to_research
12,Web/Dev,,,,,,,,,,,,,,,,,,to_research
13,Automation,,,,,,,,,,,,,,,,,,to_research
14,Automation,,,,,,,,,,,,,,,,,,to_research
15,Automation,,,,,,,,,,,,,,,,,,to_research
16,Automation,,,,,,,,,,,,,,,,,,to_research
17,RevOps,,,,,,,,,,,,,,,,,,to_research
18,RevOps,,,,,,,,,,,,,,,,,,to_research
19,RevOps,,,,,,,,,,,,,,,,,,to_research
20,RevOps,,,,,,,,,,,,,,,,,,to_research
